retail_price,release_month,release_quarter,log_retail_price,has_collaboration,collab_count,collab_tier,brand_retail_mean,brand_retail_std,brand_retail_median,brand_resell_mean,brand_resell_std,brand_resell_median,model_retail_mean,model_retail_std,model_retail_median,model_resell_mean,model_resell_std,model_resell_median,model_count,retail_to_brand_mean,model_resell_mean_to_brand_mean,retail_to_model_mean,brand,model_processed,collab_brands,size_category,resell_price
130.0,9.0,3.0,4.875197323201151,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,0.9039989207961845,0.8594401987903793,0.9944751381215469,Jordan,Other,none,Women,87.0
180.0,9.0,3.0,5.198497031265826,0,0,0,137.4869109947644,41.30398969371303,130.0,171.01570680628274,96.22273921205674,143.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,1.3092155369383092,0.8594401987903793,0.9944751381215469,ASICS,Other,none,Men,166.0
145.0,8.0,3.0,4.983606621708336,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,172.3913043478261,16.710745401019903,175.0,141.34782608695653,28.41671834366039,139.0,23.0,0.9877617409021945,0.8064831907899243,0.8411097099621689,Nike,air max plus,none,GS,93.0
135.0,1.0,1.0,4.912654885736052,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,126.02564102564102,11.365893531196008,135.0,108.46153846153847,37.688366314628006,100.0,39.0,0.9387681100575762,0.695942464728592,1.0712105798575788,Jordan,1 mid se,none,Women,115.0
120.0,12.0,4.0,4.795790545596741,0,0,0,122.7,32.453528985676755,120.0,115.71333333333334,45.762494045861814,102.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,0.9779951100244498,0.8594401987903793,0.9944751381215469,Converse,Other,none,Men,119.0
80.0,2.0,1.0,4.394449154672439,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,100.93181818181819,16.367753168430113,100.0,97.45454545454545,28.875439625815524,91.0,88.0,0.5563070281822674,0.6253161952583919,0.7926142760639495,Jordan,1 low,none,GS,109.0
140.0,9.0,3.0,4.948759890378168,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,143.8095238095238,11.169686869465268,140.0,167.52380952380952,162.27403336566795,124.0,21.0,0.9735372993189679,1.0749149841910646,0.9735099337748345,Jordan,1 retro low golf,none,Men,120.0
340.0,11.0,4.0,5.831882477283517,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,2.214102043578292,0.8594401987903793,0.9944751381215469,adidas,Other,yeezy,TD,624.0
120.0,4.0,2.0,4.795790545596741,0,0,0,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,118.4375,6.772513232461854,120.0,109.46875,14.370633979325406,111.0,32.0,0.781447780086456,0.683902740332842,1.0131926121372032,adidas,gazelle bold,none,Women,81.0
90.0,5.0,2.0,4.51085950651685,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,100.93181818181819,16.367753168430113,100.0,97.45454545454545,28.875439625815524,91.0,88.0,0.6258454067050507,0.6253161952583919,0.8916910605719433,Jordan,1 low,none,GS,86.0
